State,State Code,Not anaemic,Anaemic
Jammu & Kashmir,10,27.18,72.82
Himachal Pradesh,11,44.55,55.45
Punjab,12,28.44,71.56
Chandigarh,13,46.34,53.66
Uttarakhand,14,41.33,58.67
Haryana,15,29.22,70.78
Nct Of Delhi,16,30.26,69.74
Rajasthan,17,28.46,71.54
Uttar Pradesh,18,32.8,67.2
Bihar,19,29.46,70.54
Sikkim,2,45.08,54.92
Arunachal Pradesh,20,43.82,56.18
Nagaland,21,57.18,42.82
Manipur,22,56.94,43.06
Mizoram,23,51.63,48.37
Tripura,24,35.53,64.47
Meghalaya,25,55.64,44.36
Assam,26,29.65,70.35
West Bengal,27,30.8,69.2
Jharkhand,28,30.83,69.17
Odisha,29,34.56,65.44
Chhattisgarh,3,31.92,68.08
Madhya Pradesh,30,26.36,73.64
Gujarat,31,19.89,80.11
Dadra & Nagar Haveli And Daman & Diu,32,22.97,77.03
Maharashtra,33,29.94,70.06
Andhra Pradesh,34,35.52,64.48
Karnataka,35,33.58,66.42
Goa,36,46.64,53.36
Lakshadweep,4,56.92,43.08
Kerala,5,60.69,39.31
Tamil Nadu,6,42.43,57.57
Puducherry,7,35.84,64.16
Andaman & Nicobar Islands,8,59.73,40.27
Telangana,9,29.7,70.3
Ladakh,36,5.55,94.45
