State,Anaemic,Not anaemic,,State Code
Jammu & Kashmir,65.89,34.11,,10
Himachal Pradesh,53.01,46.99,,11
Punjab,58.65,41.35,,12
Chandigarh,60.3,39.7,,13
Uttarakhand,42.55,57.45,,14
Haryana,60.41,39.59,,15
Nct Of Delhi,49.91,50.09,,16
Rajasthan,54.35,45.65,,17
Uttar Pradesh,50.42,49.58,,18
Bihar,63.52,36.48,,19
Sikkim,41.87,58.13,,2
Arunachal Pradesh,40.27,59.73,,20
Nagaland,28.88,71.12,,21
Manipur,29.44,70.56,,22
Mizoram,34.77,65.23,,23
Tripura,67.15,32.85,,24
Meghalaya,53.79,46.21,,25
Assam,65.86,34.14,,26
West Bengal,71.39,28.61,,27
Jharkhand,65.3,34.7,,28
Odisha,64.28,35.72,,29
Chhattisgarh,60.82,39.18,,3
Madhya Pradesh,54.66,45.34,,30
Gujarat,64.98,35.02,,31
Dadra & Nagar Haveli And Daman & Diu,62.51,37.49,,32
Maharashtra,54.24,45.76,,33
Andhra Pradesh,58.83,41.17,,34
Karnataka,47.76,52.24,,35
Goa,38.95,61.05,,36
Lakshadweep,25.8,74.2,,4
Kerala,36.33,63.67,,5
Tamil Nadu,53.41,46.59,,6
Puducherry,55.14,44.86,,7
Andaman & Nicobar Islands,57.48,42.52,,8
Telangana,57.62,42.38,,9
Ladakh,92.78,7.22,,36
